t,x_odom,y_odom,yaw_odom,x_gt,y_gt,yaw_gt
31.631,6.590665715719834e-05,2.0758336207363975e-05,0.81819499657301,-0.02211141091039036,0.01993627063328734,0.813188398190461
31.664,6.653204144663439e-05,2.1428064588284332e-05,0.8211150197944975,-0.022204911574233356,0.020003566957838025,0.8149573921485681
31.698,6.715905108008732e-05,2.2103725444277256e-05,0.8240326308988263,-0.02238836865390863,0.020135030408868552,0.8184262067937068
31.732,6.779927389900116e-05,2.279740174745026e-05,0.8268632425730764,-0.022570515784987383,0.020264506208328155,0.8218598367125739
31.764,6.847837732272987e-05,2.3537363240349788e-05,0.8296931530326375,-0.022661658637500005,0.02032893591695724,0.8235749265443846
31.798000000000002,6.916753122306168e-05,2.4292784568264543e-05,0.8325206467340267,-0.022840169805480225,0.020454736035479357,0.8269361700277168
31.831,6.986923729792231e-05,2.506609354937999e-05,0.8352638170387316,-0.02301737591320983,0.020578615759600283,0.8302626003513207
31.868,7.060445082732899e-05,2.5880769800287703e-05,0.8380063470894492,-0.023106111821113377,0.020640296626788502,0.8319250342188725
31.898,7.135471225627698e-05,2.6716934738147663e-05,0.8407464883348335,-0.02327976892271686,0.020760703651602694,0.8351822140121351
31.931,7.211731681845006e-05,2.7571311850461077e-05,0.8434048825362263,-0.023452122005575265,0.020879252857430534,0.8384048972001185
31.964,7.29099619338893e-05,2.8464069796119192e-05,0.846062692056791,-0.023538446781104193,0.020938303394255762,0.8400160520602169
31.998,7.372104759803633e-05,2.9382708395722518e-05,0.8487181481521855,-0.02370733006394107,0.021053570998977006,0.8431724723829943
32.032,7.454452253230858e-05,3.0320145912865094e-05,0.8512943492300157,-0.023874908163547762,0.02116704114104661,0.8462947201971223
32.063,7.539560611957674e-05,3.1294020845588556e-05,0.8538700152065761,-0.0239588336099628,0.02122357670908516,0.8478559967790089
32.098,7.626773483119255e-05,3.229737769439535e-05,0.8564433622376323,-0.024123019910512574,0.021333943557321565,0.8509147833442884
32.131,7.71524284746413e-05,3.3320255961685386e-05,0.858939870376037,-0.024285895887230197,0.021442573372591995,0.8539397906402395
32.164,7.806290978143497e-05,3.437823721209935e-05,0.8614358856796248,-0.0243674446899377,0.02149670576442025,0.8554525993470674
