t,x_odom,y_odom,yaw_odom,x_gt,y_gt,yaw_gt
30.004,-7.587136701539111e-07,2.2503087489876517e-12,-2.614447745694604e-06,-6.88420535523513e-05,-2.17327984814294e-06,-6.2160776315915055e-06
30.038,-7.610328038671385e-07,2.2563793377296777e-12,-2.6207732376897417e-06,-6.884203807370603e-05,-2.1732839673618097e-06,-6.216645195628091e-06
30.072,-7.634222149996462e-07,2.262649228570758e-12,-2.6272903985350346e-06,-6.884200711642762e-05,-2.173292205767945e-06,-6.217780323277473e-06
30.105,-7.657413499445402e-07,2.268749604354273e-12,-2.633615866886063e-06,-6.884197615913967e-05,-2.1733004442021617e-06,-6.2189154514224e-06
30.138,-7.680604854990747e-07,2.2748646513461764e-12,-2.639941323227673e-06,-6.884196068049526e-05,-2.173304563415702e-06,-6.21948301546781e-06
30.173,-7.704498985242153e-07,2.281180347583414e-12,-2.6464584477417007e-06,-6.884192972320992e-05,-2.1733128018283217e-06,-6.220618143393633e-06
30.205,-7.727690353143475e-07,2.2873251815072236e-12,-2.6527838800401534e-06,-6.884189876592631e-05,-2.1733210402350517e-06,-6.221753271301958e-06
30.238,-7.750881727057733e-07,2.2934846865574094e-12,-2.659109300966959e-06,-6.88418832872819e-05,-2.1733251594423302e-06,-6.222320835342198e-06
30.272,-7.77477587618009e-07,2.299846187991411e-12,-2.665626389469084e-06,-6.884185232998354e-05,-2.1733333978950097e-06,-6.223455964053044e-06
30.305,-7.797967262399868e-07,2.3060354798419574e-12,-2.6719517865309078e-06,-6.884182137268605e-05,-2.1733416363247773e-06,-6.22459109248816e-06
30.338,-7.821158654716421e-07,2.31223944278232e-12,-2.678277171784257e-06,-6.884180589403991e-05,-2.173345755531093e-06,-6.225158656603223e-06
30.372,-7.845052822820797e-07,2.318646749258392e-12,-2.684794223017243e-06,-6.884177493674242e-05,-2.173353993946114e-06,-6.2262937849232645e-06
30.405,-7.868244227424259e-07,2.3248804988721053e-12,-2.6911195845139053e-06,-6.884174397944233e-05,-2.1733622323546582e-06,-6.2274289132169286e-06
30.438,-7.891435638042676e-07,2.331128919495001e-12,-2.697444934634415e-06,-6.884172850078751e-05,-2.173366351570323e-06,-6.227996477562709e-06
30.472,-7.915329825099537e-07,2.3375820308206125e-12,-2.7039619493215953e-06,-6.884169754348569e-05,-2.1733745899947524e-06,-6.229131606203972e-06
30.505,-7.93852124807829e-07,2.343860238017151e-12,-2.710287275195079e-06,-6.884166658617866e-05,-2.173382828404955e-06,-6.230266734701358e-06
30.537,-7.961712677123773e-07,2.3501531161769735e-12,-2.716612589335264e-06,-6.884165110752731e-05,-2.1733869476071486e-06,-6.23083429893334e-06
30.572,-7.985606883038988e-07,2.356652032141547e-12,-2.7231295680124555e-06,-6.884162015021508e-05,-2.173395186045286e-06,-6.2319694279604565e-06
30.608,-8.00879832433886e-07,2.3629746967277384e-12,-2.7294548589451124e-06,-6.884158919289677e-05,-2.17340342449521e-06,-6.233104557237072e-06
30.638,-8.031989771762732e-07,2.3693120322345985e-12,-2.735780137701771e-06,-6.884157371423935e-05,-2.173407543706414e-06,-6.233672121694728e-06
30.672,-8.055883996642935e-07,2.375856752684044e-12,-2.7422970791725157e-06,-6.884154275692798e-05,-2.1734157821126423e-06,-6.234807250418468e-06
30.705,-8.079075456381939e-07,2.3822238745116708e-12,-2.7486223340107206e-06,-6.884151179961315e-05,-2.1734240205146425e-06,-6.235942379150378e-06
30.738,-8.102266922172756e-07,2.3886056671806695e-12,-2.754947577538709e-06,-6.884149632095573e-05,-2.1734281397260054e-06,-6.2365099436995845e-06
30.772,-8.126161165949358e-07,2.395196191911706e-12,-2.7614644835178833e-06,-6.884146536362962e-05,-2.173436378215423e-06,-6.237645073860333e-06
30.805,-8.149352644068046e-07,2.4016077707883685e-12,-2.767789703083926e-06,-6.884143440630871e-05,-2.1734446166390367e-06,-6.2387802030974915e-06
30.838,-8.172544128256239e-07,2.4080340204521962e-12,-2.7741149107105356e-06,-6.884141892764956e-05,-2.1734487358445195e-06,-6.239347767647316e-06
30.873,-8.196438391049308e-07,2.4146703493125903e-12,-2.78063177891035e-06,-6.884138797033125e-05,-2.1734569742387176e-06,-6.240482896547003e-06
30.905,-8.219629887548401e-07,2.4211263850558862e-12,-2.786956963068322e-06,-6.884135701300861e-05,-2.173465212656817e-06,-6.241618025879945e-06
30.938,-8.24282139006097e-07,2.4275970915127034e-12,-2.793282135701237e-06,-6.884134153433991e-05,-2.1734693318982444e-06,-6.24218559106306e-06
30.972,-8.266715671752828e-07,2.4342792242856726e-12,-2.7997989674158437e-06,-6.88413105770112e-05,-2.1734775703005025e-06,-6.243320720263791e-06
31.004,-8.289907186634116e-07,2.440779716718454e-12,-2.806124115598279e-06,-6.884127961968422e-05,-2.1734858086977877e-06,-6.244455849461677e-06
31.038,-8.313098707583401e-07,2.447294879819106e-12,-2.812449252029879e-06,-6.884126414101986e-05,-2.173489927892015e-06,-6.245023414019895e-06
31.074,-8.336993008214516e-07,2.454022816328632e-12,-2.818966047196081e-06,-6.884123318368768e-05,-2.1734981662786407e-06,-6.246158543163761e-06
31.105,-8.360184541433912e-07,2.460567765257974e-12,-2.8252911604087493e-06,-6.884120222634856e-05,-2.1735064047233466e-06,-6.247293673256651e-06
31.138,-8.383376080743199e-07,2.4671273848028693e-12,-2.8316162616579076e-06,-6.884118674768333e-05,-2.1735105239205874e-06,-6.247861237950891e-06
31.174,-8.407270400322387e-07,2.4739011248694246e-12,-2.838133020167747e-06,-6.884115579034508e-05,-2.173518762330734e-06,-6.248996367629046e-06
31.204,-8.430461951969981e-07,2.480490530141719e-12,-2.844458097312548e-06,-6.884112483301202e-05,-2.1735270007223295e-06,-6.250131497098368e-06
31.238,-8.453653509655262e-07,2.4870946059550266e-12,-2.8507831628888522e-06,-6.884110935433986e-05,-2.1735311199109623e-06,-6.250699061751666e-06
31.272,-8.47754784812974e-07,2.4939141493778295e-12,-2.8572998853163033e-06,-6.884107839699553e-05,-2.1735393583544357e-06,-6.251834192113436e-06
31.305,-8.500739418119423e-07,2.5005480107901784e-12,-2.8636249273167224e-06,-6.88410474396486e-05,-2.1735475967655644e-06,-6.252969322057139e-06
31.338,-8.523930994175053e-07,2.5071965426935376e-12,-2.869949957561206e-06,-6.884103196097557e-05,-2.173551715979673e-06,-6.253536887185152e-06
31.374,0.001132491426199256,-3.2537591033511997e-09,-2.876356949997976e-06,0.0001113453320071003,-2.2269782851695674e-06,-7.054251558396068e-06
31.405,0.0033545119098558583,-9.651979350527068e-09,-2.8825516424589104e-06,0.0014111967786792747,-2.290471244871201e-06,-8.021330073310894e-06
31.438,0.0066875427191159,-1.926991182826697e-08,-2.8887134857066026e-06,0.002532424970063395,-2.3754078408198197e-06,-9.313466149772176e-06
31.472,0.011254918455967263,-3.247804242278012e-08,-2.8949456843440353e-06,0.00571654296966613,-2.7085466933160994e-06,-1.4360113087151004e-05
31.505,0.01680996998324935,-4.8575753919887325e-08,-2.900717136052002e-06,0.010129483859631899,-3.42512856976278e-06,-2.5224790432729087e-05
31.538,0.023476031913085806,-6.792982750081918e-08,-2.905969114938513e-06,0.012774883500836913,-4.084332602939503e-06,-3.521944793768623e-05
31.572,0.031477439825657136,-9.119504945412219e-08,-2.9090957701327596e-06,0.01885691588065582,-6.357990917667405e-06,-6.96713056136894e-05
31.605,0.04007946263761624,1.526212758474307e-05,0.0035726075331508514,0.02578738552854349,-1.1581253101099659e-05,-0.0001488241039518505
31.638,0.04997840257371269,0.0001486347295204596,0.023372607521324074,0.029460542349391085,-1.7550882008429793e-05,-0.000239285599785387
31.672,0.060172477245476745,0.000491005107564706,0.04377262036648511,0.036942139442198554,-5.298156632113334e-05,-0.0007665774148465949
31.706,0.0700580595464258,0.001022100292802957,0.06357261995675004,0.044551322397730075,-4.357813483895377e-05,-0.0006195808661249373
31.738,0.07993118912027393,0.0017488131128476803,0.08337261975097279,0.04852144391773596,-1.541661949654291e-05,-0.00017111187870904717
31.772,0.09008639086441013,0.002701845098448101,0.10377261956994772,0.057026124464457414,7.548163909985563e-05,0.001451847568313778
31.805,0.09992228835492109,0.003824757675870171,0.12357324309879339,0.06651977918798968,0.00019786293260349398,0.003500757303421841
31.838,0.10973405842586192,0.0051422076531576705,0.14337342740952075,0.07165592452226441,0.0002612714713283107,0.00500350822742918
31.872,0.1198146212549363,0.006702562571307316,0.16376357004386752,0.08236851718566897,0.0004025794476683466,0.013907684561056137
31.905,0.1295672606529073,0.008413377394272682,0.18354204187136539,0.09352011063024003,0.0006328100574046177,0.028974771349482203
31.938,0.13928494864596683,0.010316841102611336,0.20331055221738667,0.09918166151859269,0.0008173715316082315,0.037726209946042824
