t,x_odom,y_odom,yaw_odom,x_gt,y_gt,yaw_gt
249.244,-1.6165004820545085e-05,3.647111080494826e-10,-4.434115478984841e-05,-6.867251414104537e-05,-2.2183914578431472e-06,-1.2432672728447917e-05
249.278,-1.616739837870769e-05,3.6481724888634833e-10,-4.434759190695357e-05,-6.867248317211395e-05,-2.2183996978450076e-06,-1.243380829301502e-05
249.311,-1.616972153871503e-05,3.6492028269565296e-10,-4.4353839685299625e-05,-6.867245220317387e-05,-2.218407937868446e-06,-1.2434943857984913e-05
249.344,-1.6172044699329467e-05,3.6502333104646205e-10,-4.43600874521431e-05,-6.867243671870339e-05,-2.218412057896003e-06,-1.2435511640737995e-05
249.378,-1.6174438259385323e-05,3.651295172837041e-10,-4.4366524532809536e-05,-6.867240574976244e-05,-2.218420297913829e-06,-1.243664720573825e-05
249.411,-1.6176761421229994e-05,3.652325951580087e-10,-4.437277227575427e-05,-6.867237478081715e-05,-2.218428537937513e-06,-1.2437782770902672e-05
249.444,-1.6179084583685605e-05,3.653356875739285e-10,-4.437902000676087e-05,-6.867235929634667e-05,-2.218432657944443e-06,-1.2438350553439995e-05
249.478,-1.6181478145636274e-05,3.654419192114291e-10,-4.438545705066003e-05,-6.867232832740138e-05,-2.2184408979437398e-06,-1.2439486118351008e-05
249.511,-1.6183801309319883e-05,3.65545041150623e-10,-4.439170475799854e-05,-6.867229735845002e-05,-2.2184491379659247e-06,-1.2440621683685018e-05
249.542,-1.618612447361118e-05,3.656481776312283e-10,-4.439795245339642e-05,-6.867228187397434e-05,-2.218453257968132e-06,-1.244118946624631e-05
249.578,-1.6188518037457432e-05,3.65754454668835e-10,-4.440438946077959e-05,-6.867225090502558e-05,-2.2184614979631675e-06,-1.2442325031284594e-05
249.612,-1.6190841202981606e-05,3.6585762067281016e-10,-4.4410637132486726e-05,-6.867221993607162e-05,-2.2184697379746756e-06,-1.2443460596648396e-05
249.644,-1.6193164369114184e-05,3.659608012181691e-10,-4.441688479245731e-05,-6.867220445159593e-05,-2.2184738579732137e-06,-1.2444028379249978e-05
249.678,-1.619555793485284e-05,3.6606712365555525e-10,-4.4423321763276164e-05,-6.867217348264024e-05,-2.2184820979861473e-06,-1.2445163944749476e-05
249.711,-1.6197881102218873e-05,3.6617033372418897e-10,-4.4429569399243885e-05,-6.867214251368714e-05,-2.218490337972938e-06,-1.2446299509931248e-05
249.744,-1.6200204270192755e-05,3.6627355833412153e-10,-4.443581702342772e-05,-6.867212702921059e-05,-2.2184944579566006e-06,-1.2446867292403907e-05
249.778,-1.6202597837828946e-05,3.6637992617132824e-10,-4.444225395756591e-05,-6.867209606025316e-05,-2.2185026979499355e-06,-1.2448002857798945e-05
249.811,-1.6204921007033835e-05,3.6648318030430544e-10,-4.444850155815208e-05,-6.867206509129573e-05,-2.2185109379453373e-06,-1.244913842330237e-05
249.844,-1.6207244176846425e-05,3.665864489785154e-10,-4.445474914688973e-05,-6.867204960681744e-05,-2.2185150579383566e-06,-1.2449706206011855e-05
249.878,-1.620963774637808e-05,3.6669286221526425e-10,-4.446118604423507e-05,-6.867201863785741e-05,-2.2185232979119984e-06,-1.245084177130189e-05
249.911,0.001105872588331377,-4.9525894222660155e-08,-4.446739420790644e-05,0.0002710100946846628,-2.2799940822721315e-06,-1.337491251782527e-05
249.944,0.003339037169775078,-1.4883582474641866e-07,-4.447357791079964e-05,0.0008889070162852756,-2.317901442159637e-06,-1.3953153206000315e-05
249.979,0.0067732916098939295,-3.0158032030783626e-07,-4.447991432245083e-05,0.003069378290182293,-2.4925210475536348e-06,-1.6599424859382435e-05
250.011,0.011228620961864203,-4.997664832014958e-07,-4.4485947489228255e-05,0.006501881212489959,-2.9034382616207945e-06,-2.2832597274720185e-05
250.044,0.016795032733644202,-7.474097094428847e-07,-4.44917007265364e-05,0.008678401496040569,-3.3041720026076326e-06,-2.8908149386948526e-05
250.076,0.024392070408229303,7.640702959169989e-05,0.020355509394105527,0.01390436284798528,-5.494331953262357e-06,-6.209806066078229e-05
250.111,0.03174299198654193,0.0002988807961486805,0.04015550983577857,0.020160082019920596,-1.2224941565860709e-05,-0.00016409638626800719
250.144,0.039088343530701786,0.0006668552018708465,0.0599520653067492,0.02359620376930024,-2.411506178032214e-05,-0.00034912568343167404
250.178,0.046647183930034905,0.001197978446349068,0.08034778708194583,0.030654434233542138,-5.819056048646345e-06,0.00045413434734208687
250.215,0.05393768419296367,0.001857713066095075,0.10014597208347238,0.03769553945006054,5.7386311209416495e-05,0.001477113886453916
250.244,0.06121358431270491,0.002661642190904328,0.1199455417016972,0.041241964818800776,0.00010844498233766093,0.002316594173449446
250.278,0.06869153986976578,0.0036404004567696106,0.14034833106379818,0.04849229513545501,0.00027437674578671987,0.00683902929540264
250.311,0.07589189104104102,0.0047304771250518485,0.16015405940947955,0.056120713705945166,0.0005242162597349876,0.01696109137043226
250.344,0.08306900550360945,0.005962909940746325,0.1799627595830358,0.06012378986658435,0.000678441478238241,0.0247338417421949
250.378,0.09043696306879039,0.00738119067305249,0.20037083226300753,0.06855241407932773,0.0010424005937462477,0.04626696505124088
250.411,0.09752067124193939,0.008893086007793405,0.22018655464911635,0.07711688759900655,0.0015353563493647753,0.07027963748383866
250.446,0.10457336477754021,0.010545159903476303,0.24001090565021785,0.08138675187625125,0.0018585005314556743,0.08229797946087526
250.478,0.11180459637211485,0.01239331382488792,0.2604330355357666,0.08991435105804751,0.0026586414118512044,0.10633481999725904
250.511,0.11874392534362721,0.01431636338134308,0.2802423695805321,0.09838556144733929,0.0036582942111163773,0.13033866105122843
250.546,0.12564355572161243,0.01637635588710537,0.30003586877260896,0.10681080586731521,0.0048573293947228235,0.15429456827806642
250.578,0.1327084935320804,0.01864121819633918,0.3204160493976653,0.11099827940203477,0.005525185894393991,0.1660528946524361
250.611,0.13947680330364248,0.020961844735173735,0.34019096524797365,0.11930110855859567,0.006977276414384011,0.18934385171452559
