t,x_odom,y_odom,yaw_odom,x_gt,y_gt,yaw_gt
29.902,-7.353115365974165e-07,2.1898719773430515e-12,-2.550617126677355e-06,-6.88423128195198e-05,-2.1732108513476633e-06,-6.206570938463486e-06
29.935,-7.376306641888899e-07,2.1957945188481044e-12,-2.556942737134535e-06,-6.884229734088754e-05,-2.173214970562707e-06,-6.207138502142718e-06
29.968,-7.399497923948092e-07,2.2017317318098605e-12,-2.5632683353506442e-06,-6.884226638361954e-05,-2.173223208991788e-06,-6.208273629539208e-06
30.002,-7.423391978430031e-07,2.2078642053396615e-12,-2.569785606292608e-06,-6.884223542634894e-05,-2.1732314474203283e-06,-6.209408756999735e-06
30.035,-7.446583272760139e-07,2.2138312056915313e-12,-2.5761111809564066e-06,-6.88422044690766e-05,-2.1732396858492544e-06,-6.21054388453762e-06
30.068,-7.469774573145566e-07,2.2198128774180626e-12,-2.582436743952213e-06,-6.884218899043826e-05,-2.173243805065963e-06,-6.211111448366899e-06
30.102,-7.493668646587545e-07,2.2259911569069647e-12,-2.588953978369734e-06,-6.884215803316333e-05,-2.1732520435050927e-06,-6.212246576165885e-06
30.135,-7.516859959366918e-07,2.232002615934787e-12,-2.5952795167440767e-06,-6.884212707589706e-05,-2.1732602818693407e-06,-6.2133817029045266e-06
30.165,-7.540051278119765e-07,2.2380287462560985e-12,-2.6016050442415406e-06,-6.884211159725612e-05,-2.1732644010873324e-06,-6.213949266842968e-06
30.201,-7.56394537045607e-07,2.2442528315003684e-12,-2.6081222421460074e-06,-6.884208063997251e-05,-2.1732726395228603e-06,-6.215084394766402e-06
30.235,-7.587136701539111e-07,2.2503087489876517e-12,-2.614447745694604e-06,-6.88420496826915e-05,-2.1732808779428696e-06,-6.2162195225266565e-06
30.268,-7.610328038671385e-07,2.2563793377296777e-12,-2.6207732376897417e-06,-6.884203420404623e-05,-2.173284997164079e-06,-6.216787086603058e-06
30.302,-7.634222149996462e-07,2.262649228570758e-12,-2.6272903985350346e-06,-6.884200324676695e-05,-2.173293235568036e-06,-6.217922214227949e-06
30.335,-7.657413499445402e-07,2.268749604354273e-12,-2.633615866886063e-06,-6.884198776812081e-05,-2.173297354783068e-06,-6.218489778265133e-06
30.368,-7.680604854990747e-07,2.2748646513461764e-12,-2.639941323227673e-06,-6.88419568108346e-05,-2.1733055932200014e-06,-6.219624906495566e-06
30.402,-7.704498985242153e-07,2.281180347583414e-12,-2.6464584477417007e-06,-6.884192585355012e-05,-2.1733138316320055e-06,-6.220760034421301e-06
30.435,-7.727690353143475e-07,2.2873251815072236e-12,-2.6527838800401534e-06,-6.884189489626564e-05,-2.1733220700326716e-06,-6.22189516224664e-06
30.468,-7.750881727057733e-07,2.2934846865574094e-12,-2.659109300966959e-06,-6.88418794176195e-05,-2.173326189245737e-06,-6.222462726378835e-06
30.502,-7.77477587618009e-07,2.299846187991411e-12,-2.665626389469084e-06,-6.884184846032027e-05,-2.173334427703329e-06,-6.223597855172729e-06
30.535,-7.797967262399868e-07,2.3060354798419574e-12,-2.6719517865309078e-06,-6.884183298167066e-05,-2.1733385469204003e-06,-6.224165419419267e-06
30.569,-6.650634312251831e-07,1.1106460977221995e-09,0.010959211034765796,-8.857891190379181e-05,1.9259193312595406e-06,0.002916435551696851
30.602,8.251360762266345e-07,2.638814332808737e-08,0.022245231481360723,-0.00018645436819957322,3.187607798574547e-06,0.01594482265324609
30.635,2.3876019842460663e-06,6.971190839272134e-08,0.03319941654199329,-0.00030365611325582596,-2.9469692419458805e-06,0.02922251709723686
30.668,3.92533155694059e-06,1.2915886288410038e-07,0.04393601232468938,-0.00036112318677750197,-6.5258230823351e-06,0.035736452711599136
30.701999999999998,5.528023676747752e-06,2.0849739856489705e-07,0.05499904625772623,-0.00047582708222759437,-1.479344049549203e-05,0.048751380246058774
30.735,7.071768718235882e-06,3.017930360692146e-07,0.06573857571950965,-0.0005904520204062166,-2.45552186526047e-05,0.061769129958535965
30.768,8.574692616405548e-06,4.0874582556112555e-07,0.07615677096567745,-0.0006461003468454336,-2.9837174735547326e-05,0.0680935320304813
30.802,1.0154198631778958e-05,5.377994660245224e-07,0.08689115616780915,-0.0007570606437203118,-4.1429814025965015e-05,0.080722153852424
30.835,1.1683364640524721e-05,6.790256712004819e-07,0.09731138904959269,-0.0008678826137224812,-5.4417570355226445e-05,0.09335318148233433
30.868,1.3168819193421251e-05,8.317450617839785e-07,0.10741840244139814,-0.000921660637923153,-6.122444423249023e-05,0.09948887186362239
30.902,1.4711252468135148e-05,1.0061832312790182e-06,0.11783198200828099,-0.001028876733992554,-7.581268818933378e-05,0.11174040463430579
30.934,1.619102926254147e-05,1.188934529859654e-06,0.1279406891458651,-0.0010824297921745744,-8.359812680176879e-05,0.11786696480850467
30.968,1.762776685084642e-05,1.3810384843870373e-06,0.13774552979514876,-0.001187886380215353,-9.990626893480637e-05,0.12994641499306422
31.002,1.911724474413387e-05,1.595171079943354e-06,0.14784777706318422,-0.001291424557383001,-0.00011719499409037582,0.14183189123194195
31.035,2.054510774294231e-05,1.8149770629225212e-06,0.15765427515158095,-0.0013947867568265748,-0.00013571301963388152,0.15371943362378251
31.068,2.1930921011943427e-05,2.0421482973113796e-06,0.16716599249749806,-0.0014449183231977697,-0.0001451510400817882,0.15949394342078202
31.102,2.336545189779011e-05,2.291429397003351e-06,0.17696622786745622,-0.0015448315159795577,-0.00016485887855515304,0.17102433806211587
31.135,2.4739245054782488e-05,2.5438498664608032e-06,0.18647955670304503,-0.0016445462344576662,-0.00018572142466217946,0.182556730081394
31.17,2.6072116839553027e-05,2.801789376675449e-06,0.1957069108715507,-0.0016928965425622158,-0.00019627035714816642,0.18815870179703167
31.202,2.7449399476847144e-05,3.081618664478511e-06,0.20521414187716083,-0.0017892470674060277,-0.00021813546940953647,0.19934462831522812
31.235,2.876681965193535e-05,3.3621665620140262e-06,0.21444302472418805,-0.0018853811282179625,-0.00024108210755078338,0.2105324363099815
31.268,3.0043479098264496e-05,3.6462833481522045e-06,0.22339445315141618,-0.0019319839513011784,-0.0002526228629497805,0.21596697481857033
31.302,3.136053489164854e-05,3.951871865258041e-06,0.2326173475732145,-0.002024847105197414,-0.00027640335143470094,0.22681864226514764
31.335,3.2616254511151616e-05,4.2552847899987945e-06,0.24157017851418497,-0.00211748116892146,-0.00030120039467650237,0.23767205074704323
31.368,3.383178387841678e-05,4.5604402686680536e-06,0.25025381832743404,-0.0021623766682215603,-0.000313606119835475,0.2429440788465892
31.402,3.5081182849632284e-05,4.885737335787871e-06,0.25920073608357624,-0.0022518366224746223,-0.0003390754782913723,0.25347136311876556
31.435,3.6278811183605185e-05,5.2088919210098815e-06,0.26788550151229806,-0.00234106943090697,-0.00036542166707542365,0.2640001475068461
31.468,3.748748762947321e-05,5.546260354416865e-06,0.2763085394930694,-0.0023843352952943346,-0.0003783159938585028,0.2691141008869606
31.502,3.876648525572366e-05,5.9149047867192785e-06,0.2849857084916998,-0.0024710641137034458,-0.00040273481274842636,0.27932476463579087
31.535,3.997638758183685e-05,6.2748749746860195e-06,0.2934072424206823,-0.0025589859105668625,-0.00042313608858450666,0.2895346496834849
31.568,4.112990938510331e-05,6.628612900589664e-06,0.3015741681341212,-0.002602312898223473,-0.00043098015587497446,0.2944931621092793
31.602,4.231991216738324e-05,7.004236326646676e-06,0.30998690976605664,-0.0026909641493130508,-0.00044018847694745115,0.3043929458542097
31.635,4.344107855108657e-05,7.368392928420877e-06,0.318151742069276,-0.0027833144028637097,-0.0004383995854902933,0.3142916397648832
31.668,4.450112589639618e-05,7.722229771093402e-06,0.3260697293281541,-0.0028298928393082935,-0.00043250035848349066,0.31909877776649265
31.701999999999998,4.559847396543309e-05,8.098242159656027e-06,0.3342259191451999,-0.0029272583048561883,-0.0004090449178813186,0.3286967256647142
31.735,4.662986097697724e-05,8.4609547571657e-06,0.3421417083926798,-0.00303134288436361,-0.000367710183662977,0.3382933278813423
31.766,4.759650902784437e-05,8.809461211178732e-06,0.3498181968700407,-0.003085002147609388,-0.0003394326087125766,0.34295338730312963
31.802,4.859880419716585e-05,9.17957647993544e-06,0.3577255458910693,-0.003199123527634653,-0.0002661518899577072,0.3522582240453204
31.835,4.953525142171498e-05,9.533709536944034e-06,0.36539980642416037,-0.003323454052202412,-0.00016826010607378576,0.3615614247396117
31.868,5.040924458140156e-05,9.871854520291847e-06,0.3728420240424672,-0.0033886139048351564,-0.00010916053701956994,0.3660785083934145
31.904,5.1319993459125445e-05,1.0232067073672023e-05,0.38050795736994625,-0.003528678476742253,3.068492664896785e-05,0.375098699664852
31.935,5.21650931988942e-05,1.057374306868193e-05,0.3879479039779657,-0.0036828593467639636,0.00020168263738476943,0.3841167940654493
31.968,5.294993411240852e-05,1.089781212655305e-05,0.3951628573586347,-0.0037644720488273424,0.000299801216842013,0.3884947597470281
32.002,5.3770239730183955e-05,1.1243502270211678e-05,0.40259462403601937,-0.003940683905621667,0.0005224272550389962,0.39723849248237564
32.035,5.452485867025807e-05,1.1568063822920727e-05,0.40980730933563503,-0.004135293761520025,0.0007825210739280506,0.4059793414770126
32.068,5.522472889991322e-05,1.1875030433044742e-05,0.4168018137482779,-0.0042387907438181955,0.0009275612535298918,0.4102217699973528
32.102,5.5953751160884597e-05,1.2200907717237773e-05,0.4240064800282641,-0.004462257830854513,0.0012485744535783566,0.41869701151578126
32.135,5.6624990769688566e-05,1.250671459953558e-05,0.43099868717533685,-0.004708718974074118,0.0016131227581071494,0.4271679861581476
32.168,5.724734237410528e-05,1.2795489119742239e-05,0.4377793583636393,-0.004839954930140431,0.001812654757380459,0.4312781415676226
32.206,5.7839148045573955e-05,1.3074829293003884e-05,0.4447647563481954,-0.005122566763939783,0.0022469079677485885,0.43949329227038975
32.235,5.818524675864496e-05,1.3241265885655861e-05,0.45154770328325655,-0.005419871763804067,0.0027015822164404347,0.44771226204809517
32.268,5.8482007082949055e-05,1.3386845260848748e-05,0.45812585719697063,-0.005565476061753493,0.0029212199726102537,0.45169757888841255
32.302,5.876467091596777e-05,1.3527598926613999e-05,0.46490146544987604,-0.005858775516479075,0.0033583556752845726,0.4596650558710607
32.34,5.903191738328831e-05,1.3662787252063255e-05,0.47147696657810206,-0.006155708349744986,0.0037929621251878505,0.46763066613786575
32.368,5.925531784114123e-05,1.3778074278521494e-05,0.47785369680039513,-0.006301279600516705,0.00400290258195448,0.47149398381206525
32.402,5.9459800860079026e-05,1.3885016541989671e-05,0.4844219186572419,-0.006593456036466617,0.004420648222649435,0.479214805708938
32.435,5.965008349420388e-05,1.3985965885604802e-05,0.49079612855222926,-0.006889376659131413,0.0048359658967476495,0.48693402494119664
32.469,5.978756844709629e-05,1.4060405135955904e-05,0.4969777407427987,-0.007035008757615218,0.005036828331616288,0.4906830629372812
32.501,5.9920803078455206e-05,1.4133248416267523e-05,0.5033449845537197,-0.007325620631916045,0.00543609341553256,0.49816679896267435
32.535,6.004785835130448e-05,1.4203616695754085e-05,0.5095238938212686,-0.00761991870416123,0.005832835495091418,0.5056455086962576
32.568,6.010029644326939e-05,1.4233375736886268e-05,0.515516288022485,-0.0077647852056815635,0.006024811977432333,0.5092797887463346
32.602,6.0172867133625584e-05,1.4274590028170384e-05,0.521688536838795,-0.008053936681414952,0.00640634687584252,0.5165332130398266
32.635,6.026726255529114e-05,1.4329089648244865e-05,0.5276778233062103,-0.008345727088420834,0.00678541620778774,0.5237810179709207
32.668,6.0220257995412024e-05,1.430173416407447e-05,0.5334871848999184,-0.008489706600896752,0.006968881634084954,0.5273039566345482
32.702,6.0250630004471335e-05,1.4319392198103444e-05,0.539470137238703,-0.008776867531255603,0.007333219314489612,0.5343298671435531
32.736,6.0306616282834506e-05,1.4353169634698185e-05,0.5452757877365336,-0.008919297564828111,0.007514140126023335,0.5378338206747315
32.768,6.0136454709388166e-05,1.424933536604216e-05,0.5509084374470493,-0.009209297360662285,0.007871478313322838,0.5447839959859488
32.801,6.02227925562602e-05,1.4302467183596813e-05,0.5567067534010085,-0.009490886656629635,0.008218362853834708,0.551569918060435
32.835,6.010683801974061e-05,1.4230068337790607e-05,0.5623360601300698,-0.009776534940632131,0.00856372298127005,0.5583648940861488
32.87,5.996287858761321e-05,1.4138598065323342e-05,0.5677954450886947,-0.00991996082440109,0.008732584660562096,0.561701560004779
32.902,5.993788463251904e-05,1.4122721134234944e-05,0.5734166150554224,-0.010197105781607546,0.009063295319970228,0.5682646617607785
32.935,5.977767328373047e-05,1.4018498955463062e-05,0.5788734063605169,-0.010485025609236724,0.009394136831138121,0.5748680882814781
32.968,5.956356161777536e-05,1.3877773394977395e-05,0.5841665393255029,-0.010624080096041958,0.009555978688035831,0.5781124510401321
33.002,5.9455681870825305e-05,1.3806128929586464e-05,0.5896149260643255,-0.010897597765910703,0.009868849983776596,0.5844114852288973
33.035,5.931708825779979e-05,1.3712753365714412e-05,0.5949050137606808,-0.011182385221659385,0.010187119308500622,0.590855915506914
33.068,5.901369915872774e-05,1.3506267659485202e-05,0.6000361425601477,-0.011323522400380556,0.010340939035512064,0.5939841443363225
33.102,5.87833569364697e-05,1.3347898991002933e-05,0.6053192591862064,-0.01159182089988152,0.010638147548766637,0.6000544776445814
33.135,5.8658619403494735e-05,1.3261093551052918e-05,0.6104456348449447,-0.0118671555405202,0.010940261513020898,0.606260221377387
33.168,5.8436034482483046e-05,1.3104508889357401e-05,0.6154189192856969,-0.012009907003979435,0.011091055173987951,0.6093711748538646
33.203,5.820600092782936e-05,1.2941001468804513e-05,0.6205426455569544,-0.012285797662447733,0.011379814959015529,0.6153545615468067
33.235,5.803849921095953e-05,1.2820706469817257e-05,0.6255136488442783,-0.012552882512431567,0.01165608302856911,0.6211115998260948
33.267,5.792309171322554e-05,1.2736939612193976e-05,0.6303330383993946,-0.012686504796254567,0.011793118101544577,0.6239791419040049
33.302,5.7825376917440506e-05,1.2665286741053802e-05,0.6352981504045198,-0.012954405442462512,0.012065509645689294,0.6297031424179425
33.334,5.775462968760732e-05,1.2612879355864877e-05,0.6401168623225655,-0.013221777276565361,0.012334279466711845,0.6353829946025784
33.368,5.7704480236909594e-05,1.2575360711318695e-05,0.6447891791165891,-0.01335484291243555,0.01246691105042388,0.6381977661608755
33.402,5.767420545569449e-05,1.2552490341903314e-05,0.6496026627051241,-0.01361861611141587,0.01272763552274816,0.6437543691339297
33.435,5.766462125460392e-05,1.2545187988387233e-05,0.6542740287129888,-0.013878932315428253,0.012982131813114646,0.6492086652503913
33.468,5.7676985801230334e-05,1.2554730682626424e-05,0.6588033647639232,-0.01400859268098576,0.013107858071600469,0.6519145399233474
33.502,5.7670647779260254e-05,1.2549768195727966e-05,0.6634694066792033,-0.014269198325128674,0.013358507222010057,0.6573317837385114
33.535,5.761933543306353e-05,1.2509454930635486e-05,0.6679977861642298,-0.01453428619287556,0.013610693625628537,0.6628134928280072
33.568,5.7575573765741485e-05,1.2474810254726767e-05,0.6723886478602094,-0.014667955519961797,0.013736803636203724,0.6655667564776433
33.602,5.7534904993634945e-05,1.2442249988691188e-05,0.6769115814790382,-0.014928832017685216,0.013980955377177647,0.670919956281584
33.635,5.743848027700231e-05,1.2364394294264308e-05,0.6812993201498734,-0.015181685274125108,0.01421513303370534,0.6760833584389944
33.668,5.731606614884657e-05,1.2264685896669219e-05,0.6855529313382748,-0.015308670739984693,0.014331819863516273,0.6786671017147847
33.702,5.714232287441734e-05,1.2121920967451569e-05,0.6899351895229218,-0.015563778164412564,0.014564425770023393,0.6838394154146132
33.735,5.695907675516217e-05,1.1970056210030224e-05,0.6941881093250936,-0.015816819784270922,0.014793141175220365,0.6889541318378787
33.768,5.678423830251939e-05,1.1823916743602944e-05,0.6983121472083315,-0.015941089066922935,0.014905886698110596,0.6914862388049829
33.802,5.668056537311226e-05,1.1736611631203384e-05,0.7025599952431887,-0.016178950452512154,0.015127087091331141,0.6964749194743114
33.835,5.6739098231816744e-05,1.1786423662414377e-05,0.7066803393619705,-0.016417788478886253,0.015347061151972955,0.7014640529986751
33.868,5.665903804305828e-05,1.1717668158682013e-05,0.7106773186469535,-0.016542379847224432,0.015456373547950989,0.7039540408449844
33.902,5.657899376262171e-05,1.1648628270655365e-05,0.7147938720718677,-0.016779239972766424,0.015666778454672056,0.7087666342245579
33.939,5.673433653628477e-05,1.1783973101468578e-05,0.7187870065573785,-0.017014368913892578,0.01587737853571091,0.7136108271387616
33.968,5.664478841094274e-05,1.1705236092484825e-05,0.7226609815701202,-0.017136495912807782,0.0159815011997545,0.7160161435327835
34.002,5.672371453697186e-05,1.177540249531453e-05,0.7266501554490928,-0.017364084655892814,0.016182719448961772,0.7206834838708216
34.036,5.689240599324458e-05,1.1925700146244438e-05,0.7305195127083667,-0.017599753039042626,0.016384467241048258,0.7253894079674522
34.068,5.682822193798587e-05,1.1868013608780924e-05,0.7342753890333533,-0.01771790412552973,0.016483743582312048,0.7277092709880306
